name,date,price,currency,raw_date,raw_price
"Caroni 1999 Cadenhead's 21 Year Old","2021-10-11",216,"£,11.10.21,£216"
"Caroni 1996 Velier Full Proof Heavy / Deodat 'Breeze' Manmohan","2021-10-11",1350,"£,11.10.21,£1,350"
"Caroni 1998 Rum Sponge 22 Year Old Edition No.1","2021-10-11",395,"£,11.10.21,£395"
"Caroni Velier Employees 4th Release 3 x 70cl","2021-10-11",2500,"£,11.10.21,£2,500"
"Caroni 1998 Thompson Brothers 23 Year Old","2021-10-11",223,"£,11.10.21,£223"
"Caroni 1998 Thompson Brothers 23 Year Old","2021-10-11",317,"£,11.10.21,£317"
"Caroni 1998 Thompson Brothers 23 Year Old","2021-10-11",210,"£,11.10.21,£210"
"Caroni 1996 Velier 23 Year Old Full Proof Blended / Tasting Gang","2021-10-11",525,"£,11.10.21,£525"
"Caroni Velier Employees 4th Release Gift Set 3 x 20cl","2021-10-11",850,"£,11.10.21,£850"
"Hampden DOK 2019 Rom de Luxe ex-Caroni Cask Finish / 5th Anniversary","2021-10-11",410,"£,11.10.21,£410"
"Caroni 20 Year Old That Boutique-y Rum Company Batch #1","2021-10-11",196,"£,11.10.21,£196"
"Caroni 1991 Velier 19 Year Old Blended","2021-10-11",1650,"£,11.10.21,£1,650"
"Caroni 1991 Velier 19 Year Old Blended","2021-10-11",1950,"£,11.10.21,£1,950"
"Caroni 1983 Velier 22 Year Old High Proof Heavy","2021-10-11",1250,"£,11.10.21,£1,250"
"Caroni 1997 Whisky Krueger 18 Year Old Miniature x 5","2021-10-11",133,"£,11.10.21,£133"
"Caroni Jack Tar Music! Series 6 x 70cl","2021-10-11",2900,"£,11.10.21,£2,900"
"Caroni Jack Tar Le Soleil & La Lune 2 x 70cl","2021-10-11",825,"£,11.10.21,£825"
"Caroni 2000 Velier 17 Year Old High Proof 75cl / US Import","2021-10-11",725,"£,11.10.21,£725"
"Hampden DOK 2019 Rom de Luxe ex-Caroni Cask Finish / 5th Anniversary","2021-10-11",405,"£,11.10.21,£405"
"Caroni Providence 1991 Moon Import","2021-10-11",390,"£,11.10.21,£390"
"Caroni 1998 Velier Full Proof Heavy / Ganesh 'Buju' Ramgobie","2021-10-11",950,"£,11.10.21,£950"
"Caroni 1996 Velier Full Proof Heavy / Vijay 'Vijay' Ranmarine","2021-10-11",1300,"£,11.10.21,£1,300"
"Caroni 2000 Velier Full Proof Heavy / Nita 'Nitz' Hogan","2021-10-11",948,"£,11.10.21,£948"
"Caroni 1996 Velier 17 Year Old High Proof Heavy","2021-10-11",775,"£,11.10.21,£775"
"Caroni 2000 Velier 12 Year Old 100 Proof","2021-10-11",255,"£,11.10.21,£255"
"Caroni 1998 Velier Full Proof Heavy / Dayanand 'Yunkoo' Balloon 20cl","2021-10-11",231,"£,11.10.21,£231"
"Caroni 1994 Velier 23 Year Old 100 Proof Heavy / Guyana Stock","2021-10-11",500,"£,11.10.21,£500"
"Caroni 22 Year Old That Boutique-y Rum Company Batch #4 / Kirsch","2021-10-11",200,"£,11.10.21,£200"
"Caroni Navy Rum La Maison and Velier / 100th Anniversary","2021-10-11",245,"£,11.10.21,£245"
"Caroni 1996 Velier Full Proof Heavy / Roopnarine 'Roop' Toolsie","2021-10-11",1350,"£,11.10.21,£1,350"
"Caroni 1989 Isla del Ron","2021-10-11",192,"£,11.10.21,£192"
"Caroni 1996 Velier 20 Year Old Full Proof Heavy","2021-10-11",1050,"£,11.10.21,£1,050"
"Caroni 1996 Velier 21 Year Old 100 Imperial Proof","2021-10-11",420,"£,11.10.21,£420"
